OutputType_Clean,days_since_publication,cited_by_count
Journal Article Publication,2010,6.0
Journal Article Publication,3557,6.0
Journal Article Publication,2377,6.0
Journal Article Publication,2308,6.0
Journal Article Publication,2265,6.0
Journal Article Publication,2393,6.0
Journal Article Publication,2385,6.0
Book,677,6.0
Journal Article Publication,692,6.0
Journal Article Publication,1034,6.0
Journal Article Publication,1444,6.0
Journal Article Publication,1114,6.0
Working Paper,11966,6.0
Book,847,6.0
Working Paper,4539,6.0
Book,2479,6.0
Working Paper,953,6.0
Journal Article Publication,4085,6.0
Journal Article Publication,3268,6.0
Journal Article Publication,2111,6.0
Journal Article Publication,882,6.0
Working Paper,1252,6.0
Journal Article Publication,1221,5.4375
Working Paper,705,5.333333333333333
Book,2939,5.0
Book,5845,5.0
Book,5755,5.0
Journal Article Publication,371,5.0
Journal Article Publication,3174,5.0
Journal Article Publication,2551,5.0
Working Paper,1678,5.0
Journal Article Publication,2155,5.0
Journal Article Publication,2839,5.0
Working Paper,2606,5.0
Working Paper,2601,5.0
Journal Article Publication,1583,5.0
Journal Article Publication,5118,5.0
Journal Article Publication,1315,5.0
Journal Article Publication,3003,5.0
Journal Article Publication,6840,5.0
Journal Article Publication,680,5.0
Journal Article Publication,1904,5.0
Journal Article Publication,2608,5.0
Journal Article Publication,1282,5.0
Journal Article Publication,952,5.0
Journal Article Publication,3074,5.0
Journal Article Publication,1952,4.375
Journal Article Publication,2407,4.0
Journal Article Publication,1534,4.0
Journal Article Publication,959,4.0
Journal Article Publication,6564,4.0
Journal Article Publication,1800,4.0
Working Paper,4536,4.0
Working Paper,3353,4.0
Journal Article Publication,1184,4.0
Journal Article Publication,2807,4.0
Journal Article Publication,4373,4.0
Journal Article Publication,1015,4.0
Book,1772,4.0
Journal Article Publication,1731,4.0
Working Paper,7430,4.0
Working Paper,6854,4.0
Journal Article Publication,531,4.0
Journal Article Publication,3926,4.0
Journal Article Publication,703,4.0
Working Paper,1586,4.0
Working Paper,1761,4.0
Journal Article Publication,4088,4.0
Journal Article Publication,856,3.8181818181818183
Working Paper,370,3.5
Journal Article Publication,1162,3.3333333333333335
Book,2682,3.0
Journal Article Publication,431,3.0
Journal Article Publication,3547,3.0
Journal Article Publication,923,3.0
Working Paper,2227,3.0
Journal Article Publication,1012,3.0
